BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,3,1,2,1,1,0,0,.242,.741
Batten3B,1,0,0,0,0,0,1,.222,.697
Cronenworth2B,4,0,0,0,1,1,2,.236,.723
"Machado, M3B",4,0,0,0,0,2,3,.299,.883
"Ruiz, ELF",0,0,0,0,0,0,0,.261,.652
MazaraRF,4,0,1,0,0,1,2,.291,.737
VoitDH,4,0,1,0,0,1,1,.223,.723
Hosmer1B,4,1,2,0,0,0,2,.280,.734
AlfaroC,4,1,1,0,0,3,3,.273,.734
GrishamCF,4,1,1,1,0,0,1,.191,.628
KimSS,4,0,2,2,0,0,0,.243,.687
,36,4,10,4,2,8,15,,
