BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF-RF,5,0,1,1,0,2,0,.370,1.118
BichetteSS,5,1,1,0,0,2,2,.222,.592
Guerrero1B,4,3,4,4,0,0,0,.391,1.374
"Hernández, TRF",3,0,0,0,0,0,1,.316,.961
ZimmerCF,1,0,0,0,0,0,0,.000,.000
Gurriel Jr.DH,3,1,1,0,1,0,1,.174,.425
KirkC,2,0,0,0,1,1,1,.118,.276
1-BiggioPR,0,1,0,0,0,0,0,.000,.200
HeinemanC,1,0,0,0,0,0,1,.000,.000
"Chapman, M3B",4,0,1,1,0,1,2,.190,.642
"Tapia, RLF",3,0,0,0,0,1,2,.100,.200
Espinal2B,4,0,0,0,0,0,2,.278,.705
,35,6,8,6,2,7,12,,
