PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Berríos,5.0,6,3,3,3,5,2,11.81
"Cimber(W, 2-0)",1.0,0,0,0,0,0,0,2.45
"Garcia, Y(H, 3)",1.0,1,0,0,0,1,0,0.00
"Richards, T(H, 2)",1.0,2,1,1,0,2,1,3.86
"Romano(S, 4)",1.0,1,0,0,0,1,0,0.00
,9.0,10,4,4,3,9,3,
