BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,3,3,0,0,2,1,3,.263,.836
"Freeman, F1B",4,2,3,3,1,0,0,.313,.913
TurnerSS,4,1,2,4,0,1,1,.281,.749
1-AlbertoPR-2B-P,1,0,0,0,0,0,1,.235,.551
RiosDH-3B,5,1,1,3,0,2,3,.262,.850
"Taylor, ChLF",5,0,0,0,0,3,3,.254,.762
Muncy3B-2B,3,1,1,0,1,0,2,.164,.643
BellingerCF,2,1,0,0,2,0,1,.194,.671
"Barnes, AC",3,1,1,0,1,0,3,.250,.840
Lux2B-SS,4,2,2,2,0,1,2,.258,.693
,34,12,10,12,7,8,19,,
