BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Wong, Ko2B",4,0,0,0,0,0,3,.227,.705
AdamesSS,4,0,0,0,0,0,1,.215,.763
Tellez1B,4,0,0,0,0,1,0,.227,.760
McCutchenLF,4,0,1,0,0,1,0,.256,.711
NarváezDH,2,0,0,0,0,1,0,.244,.708
a-SeverinoPH-DH,1,0,1,0,1,0,0,.286,.946
1-BrosseauPR-DH,0,0,0,0,0,0,0,.293,.852
"Urías, L3B",3,0,0,0,1,1,2,.223,.706
PetersonRF,3,1,1,1,1,1,2,.252,.772
CaratiniC,2,0,1,0,1,1,0,.248,.825
"Davis, JoCF",2,0,0,0,0,1,2,.217,.572
,29,1,4,1,4,7,10,,
