PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Ashby,4.1,6,1,1,3,5,0,4.37
Gott,1.2,0,0,0,0,2,0,4.13
Boxberger,1.0,1,0,0,2,0,0,2.57
"Williams, D",1.0,1,0,0,0,2,0,1.82
"Hader(L, 0-3)",0.0,2,3,3,1,0,1,2.73
,8.0,10,4,4,6,9,1,
