PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Ryan,5.1,2,1,1,2,3,1,2.99
Thielbar,1.1,1,0,0,1,3,0,5.13
Jax,1.1,0,0,0,0,1,0,2.70
"Duran, J(W, 1-3)",1.0,1,0,0,1,0,0,2.48
,9.0,4,1,1,4,7,1,
