PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Wentz(W, 1-1)",6.2,2,0,0,1,5,0,4.05
Cisnero,0.1,0,0,0,0,0,0,1.72
Norris,2.0,4,2,2,2,0,0,6.20
,9.0,6,2,2,3,5,0,
