BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezDH,3,0,0,0,1,0,0,.221,.714
Witt Jr.SS,4,0,1,1,0,0,0,.246,.728
"Perez, SC",2,0,1,0,0,0,0,.241,.736
RiveroC,2,0,0,0,0,0,2,.158,.396
Pasquantino1B,3,0,1,0,1,0,1,.264,.791
"Taylor, MCF",2,0,0,0,0,0,1,.270,.716
IsbelRF-LF,2,0,0,0,0,0,1,.210,.600
Dozier3B,2,0,0,0,0,2,0,.237,.676
a-O'HearnPH-RF,2,1,1,0,0,0,1,.229,.586
EatonLF-3B,4,1,2,1,0,2,0,.263,.744
WatersRF-CF,3,0,0,0,1,1,1,.196,.641
"Lopez, N2B",3,0,0,0,0,0,2,.237,.578
,32,2,6,2,3,5,9,,
