PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Urquidy,7.2,6,1,1,0,4,0,3.69
"Montero(L, 4-2)(BS, 2)",0.0,3,3,3,2,0,0,2.64
"Maton, P",0.1,0,0,0,0,1,0,3.88
,8.0,9,4,4,2,5,0,
