PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Kopech(W, 1-1)",7.0,1,0,0,2,6,0,1.29
Foster,1.0,1,0,0,0,0,0,2.41
"López, R",1.0,1,0,0,0,1,0,3.57
,9.0,3,0,0,2,7,0,
