PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Mize(L, 0-1)",5.0,7,4,4,0,2,1,7.20
"Jiménez, J",1.0,0,0,0,0,1,0,0.00
Foley,0.2,3,1,1,0,0,0,13.50
Vest,1.1,0,0,0,0,0,0,0.00
Fulmer,1.0,0,0,0,0,2,0,0.00
,9.0,10,5,5,0,5,1,
