PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Weaver(L, 1-1)",3.2,10,9,9,1,5,1,13.50
"Smith, C",4.1,4,2,2,4,5,1,5.34
Hager,1.0,0,0,0,0,0,0,7.71
,9.0,14,11,11,5,10,2,
