BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoRF,3,0,0,0,0,2,0,.243,.731
LuplowRF,1,0,0,0,0,1,0,.181,.773
"Thomas, ACF",4,0,1,0,0,0,0,.276,.777
"Rojas, J3B",4,0,1,0,0,1,0,.254,.723
"Walker, C1B",3,0,0,0,0,1,2,.196,.751
HagerP,1,0,0,0,0,0,0,.212,.575
PeraltaLF,3,0,1,0,0,1,2,.237,.744
"Kennedy, B2B",3,1,1,0,0,1,1,.333,1.096
"Smith, PDH-1B",3,0,0,0,0,1,2,.188,.610
"Kelly, CC",2,0,0,1,0,0,0,.122,.310
PerdomoSS,3,0,0,0,0,0,0,.222,.635
,30,1,4,1,0,8,7,,
