PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Cobb(L, 3-6)",6.1,4,3,3,3,8,0,4.08
Leone,0.2,1,0,0,0,1,0,3.89
"Young, Al",1.0,1,0,0,1,0,0,3.38
"Marte, Y",1.0,0,0,0,0,1,0,5.46
,9.0,6,3,3,4,10,0,
