PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Kikuchi,4.0,3,3,3,2,5,2,4.94
Cimber,1.0,3,3,3,1,2,0,3.25
"Castillo, M",1.0,2,2,2,0,1,2,18.00
"Garcia, Y(W, 1-3)",1.1,0,0,0,0,3,0,3.55
Mayza,0.0,2,1,1,1,0,1,2.35
"Romano(S, 17)",1.2,1,0,0,1,2,0,2.52
,9.0,11,9,9,5,13,5,
