BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamLF,3,0,1,0,1,0,1,.245,.714
McGuireC,0,0,0,0,0,0,0,.251,.588
VerdugoRF-LF,4,0,0,0,0,0,2,.282,.723
BogaertsSS,4,1,1,1,0,0,2,.299,.811
Devers3B,4,1,1,0,0,1,1,.295,.907
MartinezDH,3,0,1,0,1,1,0,.276,.781
Arroyo2B,4,0,0,0,0,1,3,.285,.754
"Hernández, KCF",3,0,1,1,0,0,0,.213,.619
Dalbec1B,2,0,0,0,0,2,1,.207,.643
a-CorderoPH-1B,1,1,1,1,0,0,0,.222,.680
PlaweckiC,2,0,1,0,0,1,0,.183,.499
"Duran, JaPH",0,0,0,0,0,0,0,.222,.651
b-RefsnyderPH-RF,1,0,0,0,0,1,0,.323,.940
,31,3,7,3,2,7,10,,
