Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
FCL Astros,Rookie,Home Games,0,0,0.00,1,1,0,3.0,11,1,0,0,0,0,6,0.33
Sugar Land Skeeters,Triple-A,Home Games,0,0,2.25,1,1,0,4.0,14,2,1,1,1,0,6,0.50
Corpus Christi Hooks,Double-A,Home Games,0,0,0.00,1,1,0,3.2,13,2,0,0,0,2,3,1.09
Sugar Land Skeeters,Triple-A,Away Games,1,0,1.80,1,1,0,5.0,18,3,1,1,1,0,5,0.60
FCL Astros,Rookie,Day Games,0,0,0.00,1,1,0,3.0,11,1,0,0,0,0,6,0.33
Sugar Land Skeeters,Triple-A,Night Games,1,0,2.00,2,2,0,9.0,32,5,2,2,2,0,11,0.56
Corpus Christi Hooks,Double-A,Night Games,0,0,0.00,1,1,0,3.2,13,2,0,0,0,2,3,1.09
FCL Astros,Rookie,Leading Off,,,,1,,,0.2,3,1,,,0,0,2,1.50
Sugar Land Skeeters,Triple-A,Leading Off,,,,2,,,3.0,9,0,,,0,0,5,0.00
Corpus Christi Hooks,Double-A,Leading Off,,,,1,,,0.2,4,2,,,0,0,1,3.00
