PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Anderson, I(W, 3-1)",5.1,5,1,1,4,1,0,4.01
McHugh,1.2,2,0,0,0,2,0,4.50
Minter,1.0,0,0,0,0,1,0,2.53
O'Day,1.0,1,1,1,1,2,1,2.70
,9.0,8,2,2,5,6,1,
