BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,0,1,0,2,1,1,.256,.812
"Marte, SRF",5,0,2,0,0,0,2,.255,.652
LindorSS,3,0,0,0,1,1,3,.243,.744
Alonso1B,4,1,1,0,0,1,4,.260,.761
JankowskiLF,0,0,0,0,0,0,0,.321,.727
Escobar3B,3,0,1,1,1,0,2,.253,.771
WilliamsP,0,0,0,0,0,0,0,.000,.000
McNeilLF,3,0,0,0,0,0,2,.337,.871
"a-Smith, DoPH-1B",1,0,0,0,0,0,0,.239,.637
"Davis, JDH-3B",3,0,1,0,1,1,1,.200,.663
Guillorme2B,4,1,1,1,0,1,4,.243,.769
McCannC,4,0,1,0,0,1,0,.196,.570
,33,2,8,2,5,6,19,,
