PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Patiño(L, 1-2)",1.1,5,9,9,4,0,3,8.10
Faucher,0.2,1,1,1,1,0,1,6.75
Beeks,1.0,0,0,0,1,1,0,2.93
Yarbrough,5.0,2,0,0,0,3,0,4.38
,8.0,8,10,10,6,4,4,
