BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu3B,5,1,3,0,0,0,2,.272,.770
JudgeCF,5,0,0,0,0,2,4,.274,.950
Rizzo1B,3,1,0,0,2,0,2,.221,.832
StantonRF,5,1,2,3,0,1,0,.236,.828
Torres2B,4,1,1,0,1,1,3,.273,.823
CarpenterDH,3,0,2,0,0,1,0,.352,1.338
1-GonzalezPR-DH,0,0,0,0,0,0,0,.241,.697
b-DonaldsonPH,1,0,0,0,0,1,1,.224,.706
Kiner-FalefaSS,5,0,1,0,0,1,5,.272,.646
HigashiokaC,2,0,0,0,0,0,3,.171,.532
"a-Hicks, APH-LF",2,0,0,0,1,1,1,.235,.710
GalloLF,3,0,0,0,0,2,1,.161,.613
TrevinoC,1,0,0,0,0,0,3,.253,.724
,39,4,9,3,4,10,25,,
