Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Los Angeles Dodgers,MLB,April,55,47,9,12,3,0,2,11,7,8,0,0,1,.255,.364,.447,.811
Los Angeles Dodgers,MLB,May,98,83,11,18,2,0,3,12,14,18,0,0,0,.217,.327,.349,.676
Los Angeles Dodgers,MLB,June,103,95,10,28,5,0,7,14,7,12,0,0,0,.295,.340,.568,.908
Los Angeles Dodgers,MLB,July,106,89,10,24,6,1,3,16,12,20,0,0,5,.270,.387,.461,.848
Los Angeles Dodgers,MLB,August,101,89,15,25,6,0,4,22,9,17,1,0,1,.281,.347,.483,.830
Los Angeles Dodgers,MLB,September,103,93,13,25,4,2,5,12,7,18,0,0,3,.269,.340,.516,.856
Los Angeles Dodgers,MLB,October,12,12,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Los Angeles Dodgers,MLB,Pre All-Star,319,276,37,75,13,1,14,47,37,48,0,0,4,.272,.364,.478,.842
Los Angeles Dodgers,MLB,Post All-Star,259,232,31,57,13,2,10,40,19,48,1,0,6,.246,.317,.448,.765
