 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,210,891,7,-6,7,5,14
2020,,210,905,-8,2,12,5,11
2021,,547,"2,251",-13,-16,28,16,14
2022,,591,"2,437",-9,-5,23,12,21
