PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Scherzer(W, 4-0)",6.0,5,4,4,1,9,3,2.61
"Rodríguez, J(H, 3)",1.0,1,0,0,0,1,0,5.19
Lugo,1.0,1,0,0,0,0,0,3.86
"Lopez, Y",1.0,1,2,2,0,1,1,9.00
,9.0,8,6,6,1,11,4,
