PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J(L, 3-5)",6.0,8,4,4,1,8,2,2.89
Graterol,1.2,1,0,0,0,2,0,2.95
Price,1.1,2,1,1,1,3,0,3.48
,9.0,11,5,5,2,13,2,
