PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Keller, B(L, 1-6)",6.0,6,4,4,3,1,0,4.15
Vizcaíno,1.0,1,0,0,1,0,0,0.00
"Barlow, S",1.0,1,0,0,1,2,0,1.64
,8.0,8,4,4,5,3,0,
