Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
ACL Angels,Rookie,Home Games,6,5,0,0,0,0,0,0,1,2,1,0,0,.000,.167,.000,.167
Salt Lake Bees,Triple-A,Home Games,48,39,11,17,8,0,4,10,8,9,2,0,1,.436,.542,.949,1.491
ACL Angels,Rookie,Away Games,2,2,0,1,1,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500
Salt Lake Bees,Triple-A,Away Games,11,10,4,4,1,0,0,0,1,3,0,0,0,.400,.455,.500,.955
ACL Angels,Rookie,Day Games,4,3,0,0,0,0,0,0,1,1,1,0,0,.000,.250,.000,.250
Salt Lake Bees,Triple-A,Day Games,10,8,1,3,2,0,0,3,2,2,0,0,0,.375,.500,.625,1.125
ACL Angels,Rookie,Night Games,4,4,0,1,1,0,0,0,0,1,0,0,0,.250,.250,.500,.750
Salt Lake Bees,Triple-A,Night Games,49,41,14,18,7,0,4,7,7,10,2,0,1,.439,.531,.902,1.433
ACL Angels,Rookie,Leading Off,4,3,,0,0,0,0,0,1,1,,,0,.000,.250,.000,.250
Salt Lake Bees,Triple-A,Leading Off,23,18,,9,3,0,2,2,5,3,,,0,.500,.609,1.000,1.609
ACL Angels,Rookie,Late / Close,1,1,,0,0,0,0,0,0,1,,,0,.000,.000,.000,.000
Salt Lake Bees,Triple-A,Late / Close,6,5,,4,1,0,2,2,1,1,,,0,.800,.833,2.200,3.033
