Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,22.6,6,5.1,1,2,3,3,50.0
2019,,--,1,1.0,0,1,2,0,0.0
2020,,--,0,1.4,-1,1,2,0,--
2021,,23.4,8,7.4,1,2,3,5,62.5
2022,,23.2,23,20.7,2,13,21,5,21.7
Player,,23.1,38,35.6,2,19,31,13,34.2
