 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,147,578,1,-11,2,3,-5
2019,,47,202,-3,-4,0,1,-5
2020,,102,391,0,-3,4,2,2
2021,,237,874,6,-8,6,4,9
2022,,564,"2,297",-5,-4,24,10,25
