 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,5,10,50,1,-0.1,0,0.3,0.2,31.9
2020,7,11,63.6,0,0,1.5,0.7,1.5,35
2021,19,31,61.3,2,0.3,1.3,0.4,2,35.6
2022,27,61,44.3,-1,0.1,0.7,0.5,1.2,34.5
