BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",5,0,1,0,0,2,1,.259,.629
"Reynolds, BCF",4,0,1,1,0,1,1,.254,.777
Chavis1B,4,0,0,0,0,1,1,.254,.735
VogelbachDH,3,1,0,0,1,2,0,.211,.696
MadrisRF,4,1,3,0,0,1,0,.381,1.048
SuwinskiLF,3,1,1,3,1,1,1,.214,.754
"Castillo, D2B",4,1,1,1,0,1,3,.197,.588
"Perez, MC",4,1,1,0,0,0,0,.128,.425
Park3B,3,0,0,0,0,0,0,.211,.651
,34,5,8,5,2,9,7,,
