PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Hendricks,5.1,5,1,1,3,7,0,1.69
"Norris(H, 1)",1.0,1,2,2,1,0,0,18.00
"Martin(BS, 1)",0.2,1,0,0,0,0,0,0.00
"Wick(H, 1)",0.2,2,1,1,0,0,0,13.50
"Givens(W, 1-0)",0.1,0,0,0,0,1,0,0.00
"Robertson(S, 1)",1.0,1,0,0,0,1,0,0.00
,9.0,10,4,4,4,9,0,
