PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa",4.1,6,5,5,2,5,2,4.57
Alvarado,1.0,0,0,0,0,1,0,3.00
Eflin,1.1,1,0,0,1,0,0,4.70
"Suárez, R",0.2,1,0,0,0,1,0,1.86
"Domínguez(W, 2-0)",1.2,1,0,0,0,3,0,0.96
"Robertson(S, 1)",1.0,1,0,0,1,2,0,1.93
,10.0,10,5,5,4,12,2,
