BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PinderLF,4,0,1,0,0,0,2,.249,.668
BrideDH,4,0,2,0,0,0,0,.333,.735
LaureanoRF,4,0,0,0,0,3,3,.232,.664
Bethancourt1B,4,0,0,0,0,0,1,.241,.674
"Murphy, SC",3,0,0,0,1,1,0,.211,.687
Neuse3B,4,1,1,0,0,0,1,.228,.594
AndrusSS,4,0,0,0,0,0,2,.219,.617
"Allen, N2B",3,1,1,2,0,0,0,.192,.661
PacheCF,3,0,2,0,0,0,0,.164,.441
,33,2,7,2,1,4,9,,
