BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,5,1,2,0,0,1,1,.261,.727
RutschmanC,3,2,2,0,2,1,1,.254,.809
SantanderRF,3,0,0,0,2,1,3,.244,.782
McKennaLF,0,0,0,0,0,0,0,.240,.646
Mountcastle1B,4,0,1,1,1,1,4,.248,.727
Henderson3B,4,0,0,1,1,1,3,.257,.791
HaysLF-RF,4,0,1,1,0,1,3,.251,.720
Vavra2B,2,0,0,0,2,0,2,.256,.656
StowersDH,3,0,1,0,0,0,1,.262,.748
MateoSS,4,0,0,0,0,0,4,.221,.645
,32,3,7,3,8,6,22,,
