PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Ashcraft,6.2,8,4,3,2,6,1,4.64
"Díaz, A(H, 11)",1.1,0,0,0,0,2,0,1.91
"Strickland(L, 2-3)(BS, 3)",0.0,1,3,3,1,0,1,5.70
"Farmer, B",1.0,1,0,0,0,1,0,4.50
,9.0,10,7,6,3,9,2,
