BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wendle3B,5,1,2,1,0,0,2,.296,.743
AguilarDH,4,1,3,4,0,1,1,.251,.695
BledayCF,5,0,0,0,0,3,3,.182,.626
"García, AvRF",4,0,0,0,0,1,1,.231,.587
"Díaz, L1B",2,1,1,0,2,1,0,.211,.581
"Rojas, MSS",4,0,1,1,0,0,2,.242,.640
De La CruzLF,3,0,0,0,0,2,2,.213,.617
"a-Sánchez, JPH-LF",1,1,1,1,0,0,0,.207,.668
"Williams, L2B",3,1,0,0,1,1,1,.243,.633
StallingsC,3,1,2,0,0,0,0,.201,.515
1-FortesPR-C,0,1,0,0,0,0,0,.259,.803
,34,7,10,7,3,9,12,,
