PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Taillon,2.0,2,2,2,0,2,1,3.97
"Weissert(W, 1-0)",2.0,0,0,0,0,2,0,6.23
Luetge,0.2,1,1,1,0,2,1,2.68
Trivino,1.0,1,0,0,0,0,0,5.02
Marinaccio,1.1,1,0,0,0,1,0,1.85
Loáisiga,1.1,0,0,0,0,3,0,5.29
"Peralta, Wa",0.2,2,1,1,0,0,0,2.72
,9.0,7,4,4,0,10,2,
