Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,23.7,1,1.8,-1,4,2,0,0.0
2018,,23.8,1,1.0,0,2,1,0,0.0
2019,,23.7,23,21.8,1,13,13,11,47.8
2020,,24.6,7,5.8,1,4,5,2,28.6
2021,,25.1,14,13.7,0,4,10,6,42.9
2022,,23.5,13,13.1,0,9,10,4,30.8
Player,,24.1,59,57.2,2,36,41,23,39.0
