 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,288,"1,077",-6,-10,2,3,-11
2017,,178,635,-5,-5,0,2,-8
2018,,46,175,-2,-2,0,0,-4
2019,,501,"1,878",5,1,8,8,21
2020,,205,751,-3,-1,7,4,7
2021,,445,"1,706",3,-15,7,6,1
2022,,549,"2,017",-5,-11,14,8,6
