Season,Team,Pos,PA,Depth (ft.),Angle
2017,CLE,6,76,147,-13
2017,CLE,5,1518,111,-33
2017,CLE,4,91,156,15
2017,CLE,3,9,116,32
2018,TOR,5,232,112,-33
2018,TOR,6,278,145,-15
2019,NYY,7,7,296,-26
2019,NYY,3,19,108,37
2019,NYY,5,4089,116,-30
2020,NYY,5,1507,123,-29
2021,NYY,5,3119,118,-30
2021,NYY,6,804,146,-13
2022,MIN,6,11,144,-16
2022,MIN,5,4778,119,-30
