Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,R,165,1,0.6,.244,.000
2018,R,46,0,0.0,.270,
2019,R,468,9,1.9,.374,.173
2020,R,174,7,4.0,.375,.126
2021,R,434,21,4.8,.316,.221
2022,R,549,10,1.8,.331,.429
