Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2015,CLE,AL,288,88,119,1,0,.266,15,9,33,1077,3.740,.201,.021,.310,.105,4,0
2017,CLE,AL,165,45,54,1,0,.256,8,6,31,592,3.588,.133,.006,.364,.064,2,0
2018,TOR,AL,46,14,24,0,0,.281,2,1,7,175,3.804,.217,.022,.200,.093,0,0
2019,NYY,AL,476,236,179,0,4,.349,55,13,80,1798,3.777,.183,.044,.287,.219,2,1
2020,NYY,AL,174,74,68,0,4,.315,17,6,33,633,3.638,.144,.034,.720,.192,2,1
2021,NYY,AL,442,176,183,0,1,.329,34,16,73,1697,3.839,.247,.032,.183,.152,3,0
2022,MIN,AL,551,215,227,0,7,.326,43,21,84,2017,3.661,.174,.024,.427,.144,2,2
7 Seasons,4 Teams,,2142,848,854,2,16,.316,174,72,341,7989,3.730,.190,.029,.324,.154,15,4
