PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Long,3.0,3,0,0,0,1,0,1.96
"Rogers, Ty",2.0,2,0,0,1,0,0,5.27
"Leone(H, 6)",1.0,1,0,0,0,0,0,2.45
Littell,0.0,2,0,0,1,0,0,5.16
"García, J(H, 2)",1.1,2,1,0,0,1,0,2.18
"Doval(W, 2-2)",0.2,0,0,0,1,2,0,2.84
"Alvarez(S, 1)",1.0,3,1,1,0,1,1,5.28
,9.0,13,2,1,3,5,1,
