Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2022,,18.9,7,6.8,0,3,7,3,42.9
Player,,18.9,7,6.8,0,3,7,3,42.9
