 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,164,81.6,76.2,--,--,157,75.8,3,--,4,--,--,--,--,--,--,--
2021,234,91.9,85.3,--,--,15,--,48,--,135,84.1,--,--,--,--,36,--
2022,484,88.5,85.2,--,--,339,80.3,100,86.4,45,--,--,--,--,--,--,--
