 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,399,"1,644",-5,-19,11,7,-7
2020,,106,438,-7,-8,3,2,-10
2021,,190,741,-7,-13,2,4,-14
2022,,511,"1,818",-4,-16,5,5,-10
