,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,671,575,99,145,14,57,19,.252,.355,.383,.738
10 Seasons,5436,4715,795,1352,174,630,156,.287,.376,.466,.842
