Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2015,23,2125,375,18,4.8,3.4,91.7,112.5,0.1,30.1,.304,.443,.343,.358,.415,45.1,19.2,9.0
2016,24,2715,445,43,9.7,6.5,92.6,113.6,2.7,31.9,.306,.513,.367,.388,.461,49.9,20.9,10.9
2017,25,2883,471,33,7.0,4.8,90.6,112.4,4.6,29.5,.287,.460,.348,.363,.411,45.8,19.7,11.5
2018,26,2532,441,57,12.9,8.8,92.6,113.6,5.0,36.7,.318,.570,.422,.416,.498,50.8,20.7,10.4
2019,27,2285,374,59,15.8,10.2,93.3,117.9,11.3,33.2,.314,.629,.442,.429,.514,49.1,20.3,13.8
2020,28,1100,124,15,12.1,6.1,94.0,112.0,7.1,32.3,.250,.473,.343,.378,.494,55.6,30.8,18.6
2021,29,2012,289,22,7.6,4.6,91.0,114.9,2.8,29.4,.254,.392,.325,.337,.385,48.8,23.8,14.7
2022,30,2747,416,34,8.2,5.1,91.5,117.2,3.6,30.3,.258,.404,.328,.339,.396,48.6,24.1,13.1
Player,,18399,2935,281,9.6,6.2,92.0,117.9,4.4,31.7,.290,.489,.367,.377,.444,48.6,21.8,12.2
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
