 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2013,,272,"1,170",0,-7,8,5,6
2014,,657,"2,803",0,-18,22,13,18
2015,,522,"2,112",4,-21,13,8,3
2016,,655,"2,702",10,-20,17,12,19
2017,,683,"2,871",-17,-15,27,14,8
2018,,694,"2,705",33,-9,20,13,57
2019,,559,"2,267",24,-11,22,16,50
2020,,254,"1,136",-5,-15,10,7,-3
2021,,487,"2,083",-17,-10,20,13,6
2022,,666,"2,747",-3,-22,24,15,14
