Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.9,21,22.6,-2,11,21,8,38.1
2017,,21.5,18,19.6,-2,11,16,7,38.9
2018,,22.7,38,33.6,4,18,29,10,26.3
2019,,22.8,44,37.9,6,12,22,20,45.5
2020,,22.8,12,10.7,1,5,9,3,25.0
2021,,22.5,9,7.0,2,8,7,1,11.1
2022,,22.3,14,13.9,0,6,11,6,42.9
Player,,22.5,156,145.2,11,71,115,55,35.3
