Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,6,,1,7,-1,7,2,-1,-2,0,82,83,1
2017,1,,2,1,3,6,-4,-2,0,-5,87,88,1
2018,3,,0,2,-2,1,1,0,1,2,87,88,1
2019,-4,,-3,1,-1,-3,-1,0,-2,-2,86,84,-2
2020,-3,,-1,1,0,-1,0,-1,-1,-1,88,85,-3
2021,2,,0,1,1,2,0,0,-1,0,90,90,0
2022,-5,,0,0,0,0,-3,0,-2,-5,89,86,-3
