BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,2,1,1,2,1,2,.240,.708
SeagerSS,5,1,1,0,0,2,3,.254,.803
"García, AdDH",4,0,1,0,0,1,3,.252,.760
HeimC,4,0,0,0,0,2,6,.246,.755
"Lowe, N1B",4,0,1,1,0,1,0,.281,.784
TaverasCF,4,0,2,1,0,0,0,.301,.775
CulbersonLF,4,0,1,0,0,2,2,.260,.615
"Duran, E3B",4,0,1,0,0,2,2,.240,.659
"Thompson, BRF",3,0,0,0,0,2,2,.200,.471
,35,3,8,3,2,13,20,,
