BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,4,0,0,0,0,1,2,.269,.832
Guerrero1B,4,0,1,0,0,0,2,.280,.832
"Hernández, TRF",4,0,0,0,0,1,1,.213,.637
BichetteSS,4,0,0,0,0,2,0,.234,.620
Espinal2B,3,0,1,0,0,1,0,.282,.792
"Chapman, M3B",2,0,0,0,1,0,1,.182,.606
Gurriel Jr.LF,3,0,1,0,0,1,1,.230,.618
KirkC,3,0,1,0,0,0,1,.255,.646
"Tapia, RCF",2,0,1,0,0,0,1,.231,.538
"a-Jansen, DPH",1,0,0,0,0,0,0,.500,2.115
ZimmerCF,0,0,0,0,0,0,0,.075,.269
,30,0,5,0,1,6,9,,
