PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Springs,4.2,4,0,0,0,2,0,1.66
"Wisler(W, 2-1)",1.1,0,0,0,0,1,0,2.04
"Feyereisen(H, 4)",1.0,0,0,0,1,3,0,0.00
"Poche(H, 7)",1.0,0,0,0,0,0,0,1.80
"Kittredge(S, 5)",1.0,1,0,0,0,0,0,2.65
,9.0,5,0,0,1,6,0,
