BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McNeilLF,3,1,2,0,1,0,0,.367,.908
"Marte, SRF-CF",3,1,1,2,1,0,2,.294,.851
LindorSS,3,0,0,0,1,0,3,.267,1.069
Alonso1B,4,0,0,0,0,0,3,.229,.779
Escobar3B,4,0,0,0,0,1,0,.214,.818
"Canó, R2B",4,0,1,0,0,1,0,.217,.598
"Smith, DoDH",3,0,1,0,0,1,1,.143,.459
JankowskiCF,2,0,0,0,0,0,2,.500,1.045
"a-Davis, JPH",1,0,0,0,0,1,1,.167,.583
"Reynolds, MRF",0,0,0,0,0,0,0,.000,.000
NidoC,2,0,0,0,0,2,0,.231,.462
b-GuillormePH,1,0,0,0,0,0,0,.000,.100
McCannC,0,0,0,0,0,0,0,.063,.274
,30,2,5,2,3,6,12,,
