PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L(W, 1-0)",7.1,6,0,0,0,5,0,0.00
"Muñoz, A",1.2,1,0,0,0,2,0,0.00
,9.0,7,0,0,0,7,0,
