,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,505,466,76,136,16,63,18,.292,.347,.468,.815
11 Seasons,5267,4808,756,1392,142,565,314,.290,.346,.453,.799
