PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D(W, 2-1)",6.0,1,0,0,3,4,0,2.75
Brooks,2.2,4,3,3,0,2,1,7.71
Wittgren,0.1,1,0,0,1,1,0,1.69
,9.0,6,3,3,4,7,1,
