BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoCF,5,0,1,0,0,2,5,.197,.665
"Smith, PRF",3,1,1,2,1,0,1,.264,.742
PeraltaLF,3,0,0,0,1,1,2,.226,.693
"Walker, C1B",4,1,1,0,0,2,3,.157,.615
BeerDH,4,0,0,0,0,1,1,.283,.783
"Marte, K2B",4,0,0,0,0,0,1,.135,.410
"Kelly, CC",4,0,1,1,0,1,0,.109,.293
AhmedSS,4,1,2,0,0,0,0,.313,.938
Perdomo3B,2,0,0,0,2,0,1,.179,.655
,33,3,6,3,4,7,14,,
