PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Castellanos, H(L, 1-1)",2.0,5,5,5,1,0,0,5.79
"Martin, Co",3.1,6,3,3,0,2,0,4.35
Widener,1.2,2,0,0,1,1,0,3.38
Holton,1.0,2,0,0,0,1,0,0.00
,8.0,15,8,8,2,4,0,
