BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,5,1,3,0,0,0,1,.245,.729
"Soto, JRF",4,1,1,0,1,1,3,.243,.858
"Machado, M3B",5,0,1,0,0,2,8,.297,.899
Cronenworth2B,4,0,1,0,0,1,3,.237,.713
Drury1B,4,0,2,2,0,1,1,.263,.816
KimSS,4,0,1,0,0,2,2,.248,.696
DixonDH,4,0,0,0,0,1,3,.000,.000
CampusanoC,4,0,1,0,0,1,2,.293,.692
AzocarCF,2,0,0,0,0,1,1,.260,.641
a-MyersPH-CF,0,0,0,0,2,0,0,.257,.689
,36,2,10,2,3,10,24,,
