Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2011,SD,NL,153,31,66,0,0,.210,10,2,16,600,3.922,.301,.007,.457,.102,3,0
2012,CHC,NL,368,156,118,0,1,.310,30,7,55,1339,3.639,.168,.041,.435,.178,5,1
2013,CHC,NL,690,254,260,0,2,.258,65,12,101,2615,3.790,.184,.033,.598,.186,5,0
2014,CHC,NL,616,276,189,0,4,.311,61,8,69,2478,4.023,.188,.052,.629,.240,4,3
2015,CHC,NL,701,300,225,0,7,.289,72,9,112,2751,3.924,.150,.044,.743,.234,5,0
2016,CHC,NL,676,317,285,0,3,.309,79,13,135,2656,3.929,.160,.047,.685,.252,1,1
2017,CHC,NL,691,290,272,0,4,.273,67,21,128,2723,3.941,.130,.046,1.011,.234,0,1
2018,CHC,NL,665,266,237,0,9,.287,55,11,102,2444,3.675,.120,.038,.875,.187,4,1
2019,CHC,NL,613,266,198,0,3,.306,59,15,101,2470,4.029,.140,.044,.826,.227,1,0
2020,CHC,NL,243,84,89,0,2,.218,17,6,35,985,4.053,.156,.045,.737,.192,4,0
2021,CHC,NL,376,144,136,0,3,.261,33,10,69,1418,3.771,.157,.037,.610,.198,2,1
2021,NYY,AL,200,74,59,0,2,.252,15,5,30,812,4.060,.140,.040,.571,.179,4,0
2021,2 Teams,,576,218,195,0,5,.258,48,15,99,2230,3.872,.151,.038,.598,.192,6,1
2022,NYY,AL,548,223,223,0,2,.216,54,13,96,2112,3.854,.184,.058,.574,.256,0,1
12 Seasons,3 Teams,,6540,2681,2357,0,42,.278,617,132,1049,25403,3.884,.160,.043,.687,.216,38,9
